"scraping_time";"add_information";"company_details";"company_name";"contact_details";"contract_type";"days_online";"job_category";"job_city";"job_description";"job_title";"object_id";"object_link";"requirements";"salary";"views"
"2021-08-05 17:28:28.637809";"";"Il modello di SosTariffe.it è diverso da un call center tradizionale, perché gli utenti che verranno chiamati saranno coloro 
che avranno richiesto all’interno di SosTariffe.it di essere contattati per una consulenza.Le persone che chiameremo 
saranno felici di ricevere la chiamata, perché hanno necessità di valutare nuovi provider per la propria casa: 
non attaccheranno il telefono e non saranno disturbate dalla nostra chiamata. ";"Sostariffe_Dega ne Shqiperi";"e:jobs.albania@sostariffe.it|w:|t:0682049815";"Full Time";"56 Ditë";"Drejtues/Menaxher";"Tiranë";"SosTariffe.it è un’azienda italiana, leader sulla comparazione di Adsl, Luce e Gas. Offriamo un confronto di tutti i migliori provider a oltre 1 Milione di utenti al mese. Il modello di SosTariffe.it è diverso da un call center tradizionale, perché gli utenti che verranno chiamati saranno coloro che avranno richiesto all’interno di SosTariffe.it di essere contattati per una consulenza. Le persone che chiameremo saranno felici di ricevere la chiamata, perché hanno necessità di valutare nuovi provider per la propria casa: non attaccheranno il telefono e non saranno disturbate dalla nostra chiamata. 
";"Tirane, Sostariffe cerca Formatore ADSL";"241";"http://karriera.al/al/job-inside/241/tirane-sostariffe-cerca-formatore-adsl";"
OBIETTIVO

Gestione dell’area Training del Call Center in sintonia con il processo di reclutamento delle nuove risorse, individuazione delle aree di miglioramento; pianificazione e realizzazione dei piani formativi.


Mansioni Generali

Il candidato/La candidata avrà le seguenti responsabilità:

- Organizzare le aule formazione
- Creare il materiale formativo a seconda della campagna
- Strutturare un modello di inserimento delle risorse nuove
- Coordinare il processo di inserimento e combinarlo con le ore di ascolto
- Cercare di percepire le migliori capacità delle nuove risorse
- Gestione di un team di Tutor/formatore junior


Qualificazioni/esperienze specifiche

Al/Alla candidato/a si richiedono i seguenti requisiti minimi:

- Precedente esperienza come FORMATORE in una struttura simile.
- Perfetta conoscenza della lingua italiana
- Spiccata attitudine didattica
- Ottime capacità di organizzare un’aula formazione
- Capacità di gestione dello stress.



Offriamo un lavoro full time nella nostra sede di Tirana
Contratto a tempo indeterminato a norma di legge.
 
";"";"3321"
"2021-08-05 17:28:30.510661";"Per candidarsi inviare il proprio cv in italiano a: jobs.albania@sostariffe.it
Cell: 068 2049815
Indirizzo :Rr. e Kavajes, nr.59 (te ish Volkswagen), Tirana 
";"Il modello di SosTariffe.it è diverso da un call center tradizionale, perché gli utenti che verranno chiamati saranno coloro 
che avranno richiesto all’interno di SosTariffe.it di essere contattati per una consulenza.Le persone che chiameremo 
saranno felici di ricevere la chiamata, perché hanno necessità di valutare nuovi provider per la propria casa: 
non attaccheranno il telefono e non saranno disturbate dalla nostra chiamata. ";"Sostariffe_Dega ne Shqiperi";"e:jobs.albania@sostariffe.it|w:|t:0682049815";"Full Time";"56 Ditë";"Operator";"Tiranë";"Il modello di SosTariffe.it è diverso da un call center tradizionale, perché i clienti che lavoriamo sono soltanto quelli che hanno chiesto di essere
contattati per un preventivo e/o una consulenza direttamente dal sito www.SosTariffe.it.
I Clienti che vengono contattati sono, quindi, realmente interessati a parlare con noi. Sono generalmente persone contente di ricevere le
nostre chiamate perchè li aiutiamo a valutare al meglio nuovi provider per la propria casa.


 
";"Sostariffe.it continua ad assumere consulenti Call me Back di Energia & Gas - 6 gestori";"3063";"http://karriera.al/al/job-inside/3063/sostariffe-it-continua-ad-assumere-consulenti-call-me-back-di-energia-amp-gas-6-gestori";"Il/la candidato/a avrà le seguenti responsabilità:

- Effettuare le chiamate in uscita, verso gli utenti che hanno richiesto di essere contattati
- Gestire le chiamate in uscita verso i potenziali clienti che hanno compilato on-line una richiesta;
- Interpretare le esigenze del cliente e consigliarlo sulla migliore tariffe per le sue esigenze;

Al/Alla candidato/a si richiedono i seguenti requisiti minimi:

- Perfetta conoscenza della lingua italiana
- Spiccata attitudine commerciale
- Almeno 6 mesi di esperienza lavorativa in un contact center nella vendita di Energia e Gas

Al/Alla candidato/a si offrono:

- Contratto di lavoro a tempo indeterminato a norma di legge con stipendio base interessante e scatto di anzianità dopo 6 mesi.
- Liste di nominativi da chiamare di altissima qualita.
- Bonus molto alti per ogni contratto venduto e incentivi concreti
- Ambiente meritocratico, con reali possibilità di rapida crescita professionale.
- Formazione pagata
- Contributi garantiti


Indirizzo :Rr. e Kavajes, Nr: 50 (te ish Volkswagen), Tirana

 
";"";"27598"
"2021-08-05 17:28:32.518867";"Per candidarsi inviare il proprio cv in Italiano a: jobs.albania@sostariffe.it
Cell. : 068 80 48 360
Indirizzo: Rr. e Kavajes, nr.50 (te ish Volkswagen) - Tirana
";"Il modello di SosTariffe.it è diverso da un call center tradizionale, perché gli utenti che verranno chiamati saranno coloro 
che avranno richiesto all’interno di SosTariffe.it di essere contattati per una consulenza.Le persone che chiameremo 
saranno felici di ricevere la chiamata, perché hanno necessità di valutare nuovi provider per la propria casa: 
non attaccheranno il telefono e non saranno disturbate dalla nostra chiamata. ";"Sostariffe_Dega ne Shqiperi";"e:jobs.albania@sostariffe.it|w:|t:0682049815";"Full Time";"56 Ditë";"Marketing/Shitje";"Tiranë";"Sostariffe ti offre la possibilità di chiamare solo clienti che hanno richiesto di essere contattati compilando il modulo online.
Scegli tu tra 4 gestori, quello più adatto al tuo cliente.

Offriamo:
nominativi di clienti che hanno chiesto di essere chiamati
pagamento base interessante con scatto di anzianità dopo 6 mesi
bonus fino a 3000 leke / contratto
un contratto a tempo indeterminato a norma di legge
ambiente accogliente e privo di stress

Requisiti:
una buona conoscenza della lingua italiana
esperienza di almeno 6 mesi in call center

Contattaci al numero 0682049815,

oppure manda il tuo Cv a: jobs.albania@sostariffe.it per fissare un colloquio!
";"Cercasi consulenti ADSL ""Call me Back"" - Vodafone, Tim, Fastweb, Wind ";"2863";"http://karriera.al/al/job-inside/2863/cercasi-consulenti-adsl-quot-call-me-back-quot-vodafone-tim-fastweb-wind";"Compiti e responsabilità:

Gestione di un Team di Consulenti dedicati;
Analisi Performances ed erogazione Report;
Valutazione periodica del proprio staff;
Coordinamento con i reparti Training e Quality Assurance per migliorare i processi del servizio svolto.


Si necessita dei seguenti requisiti minimi:

Esperienza pregressa di almeno 1 anno come Team Leader nella vendita di contratti ADSL;
Perfetta conoscenza della lingua italiana;
Attitudine commerciale e conoscenza delle tecniche di vendita;
Ottime capacità di organizzare e gestire un team;
Ottima capacità di lavorare in gruppo;
Capacità di risolvere i problemi improvvisi;


Cosa Offriamo:

Lavoro full time (da lunedì al sabato) nella nostra sede di Tirana
Contratto a tempo indeterminato a norma di legge
Stipendi Fisso mensile
Bonus mensili e possibilità reale di raddoppiare il fisso mensile

 
";"";"15767"
"2021-08-05 17:28:34.774865";"";"Jemi nje kompani Call Centeri ne kerkim te agjenteve telefonik ne fushata te ndryshme marketingu ,me staf mbi 500 persona qe punojne aktualisht ne kompanine tone .U mundesojme cdo personi qe eshte staf te kompania jone nje rritje ne karriere si nga ana profesionale ashtu edhe nga ana ekonomike .

Operojme ne treg qe nga viti 2016 ,ofrojme kushtet me te mira te punes ,kontrata te rregullta pune ,korrektesi ne pagesa ,ne bonuse ";"HR Recruitment";"e:klinton.recruit@hresource.org|w:https://www.facebook.com/hralbania/|t:+355694476198";"Full Time";"26 Ditë";"Marketing/Shitje";"Tiranë";"Agjente marketingu me/pa eksperience ne gjuhet :
1-GJERMANE ??
2-SPANJOLLE ??
3-ITALIANE ??(With Experience)

Kushtet qe ofrojme !
??Pagesa baze (500€-550€)
??Bonuse te larta (<1000 €)
??Kontrate te rregullte pune sipas legjislacionit.
??Fundjava pushim dhe festat pushim .
??Trajnime nga staf i specializuar ne rast se iu mungon eksperienca .
??Stabilitet ekonomik dhe social .
??Mundesi rritjeje brenda kompanise .
??Sherbime mjekesore falas .
Kerkojme :
??Njohuri baze te kompjuterit .
??Njohuri te gjuheve perkatese.
??Nen moshen 18 vjecare nuk pranojme .
Email:klinton.recruit@hresource.org
";"Pagesa Baze+Bonuse mbi 1000 Euro.Kapi mundesite TANI !";"5357";"http://karriera.al/al/job-inside/5357/pagesa-baze-bonuse-mbi-1000-euro-kapi-mundesite-tani";"Kerkojme :
??Njohuri baze te kompjuterit .
??Njohuri te gjuheve perkatese.
??Nen moshen 18 vjecare nuk pranojme .
";"500-1000 Euro";"1082"
"2021-08-05 17:28:36.676798";"";"Kompania Marketing Group operon suksesshem ne fushen e telekomunikacionit duke trajtur argumenta mbi tregun e burses.
Jemi duke zgjeruar stafin tone dhe po kerkojme punonjes mbi pozicionin e punes Operator Apertura & Retention per gjuhen Italiane.
";"Marketing Grup";"e:marketinggroup.al@hotmail.com|w:marketinggroup.al@hotmail.com|t:0686078001";"Full Time";"56 Ditë";"Telemarketing";"Tiranë";"Kompania Marketing Group , nje kompani e sukseshme ne fushen e telemarketingut dhe ne ceshtjet e burses , po rekruton operatore telefonik ne pozicionin Apertura.

Ju ftojme te beheni pjese e intervistave tona te punes te cialt zhvillohen nga dita e Hene-Premte nga ora 9;00-18;00 prane zyrave tona .

Kompania jone ofron per ju :

Trajnime te pagura me nje staf te kualifukuar
Pagesa konkurrente ne treg
Bonuse te larta (bonuse ditore, javore, mujore)
Leads Web shume te mire
Mjedis komod, rinor dhe dinamik
Aktivitete argetuese brenda dhe jashte ambjentit te punes
Orare pune 9:00-18:00
Fundjava e lire

Ne dime te vleresojme punen tuaj duke iu ofruar mundesi rritje personale e profesionale secilit prej jush.

Dergojini aplikimet tuaja duke na kontaktuar ne numurin e telefonit 0686078001 ose derguar cv-ne tuaj ne adresat e e-mail: marketinggroup.al@hotmail.com

Adresa : Rruga Tafaj, Ndertesa 34, mbrapa Aza Elektronics tek Selvia .

Ju mirepresim!
";"Marketing Group ka shpall vakant pozicioni e punes Agjent Apertura";"5675";"http://karriera.al/al/job-inside/5675/marketing-group-ka-shpall-vakant-pozicioni-e-punes-agjent-apertura";" 
Te gjithe te interesuarit duhet te permbushin keto kritere:

Te njohin mire kompjuterin.
Te zoterojne gjuhen italiane ne nivel te larte njohje.
Te kene disponibilitet te plote, korrektesi ne pune si edhe te jene te gatshem te bashkepunojne per objektivat ne grup dhe ato personale.
Te jene ambicioz, kembengules, positiv dhe te jene te afte te nderveprojne ne grup .
";"";"4"
"2021-08-05 17:28:39.591479";"";"Kompania Marketing Group operon suksesshem ne fushen e telekomunikacionit duke trajtur argumenta mbi tregun e burses.
Jemi duke zgjeruar stafin tone dhe po kerkojme punonjes mbi pozicionin e punes Operator Apertura & Retention per gjuhen Italiane.
";"Marketing Grup";"e:marketinggroup.al@hotmail.com|w:marketinggroup.al@hotmail.com|t:0686078001";"Full Time";"56 Ditë";"Telemarketing";"Tiranë";"Ne jemi Marketing Group , nje kompani e suksesshme ne tregun e punes duke trajtuar argumentat e burses dhe me gjere.
Kerkojme te zgjerojme stafin tone dhe po rekrutojme Agjent Retention ne gjuhen Italiane .
Po ju jeni gati te na bashkoheni?
Nese keni ambicje per rritje personale e profesionale , po kerkoni nje pune stabel e me paga konkuruese ne treg ju themi se jeni ne vendin e duhur.
Marketing Group eshte nje kompanine qe ofron mundesite e duhura per ju!


Kompania jone ofron per ju :

Trajnime te paguara me nje staf te kualifikuar
Pagesa me rroge baze dhe bonuse te larta (bonuse ditore, javore, mujore)
Leads web shume te mire
Mjedis pune komod, rinor dhe dinamik
Aktivitete argetuese brenda dhe jashte mjedisit te punes
Orare pune 9:00-18:00
Fundjava e lire

Dergoni aplikimet tuaja ne adresat e meposhtme:

Kontakt: 0686078001
E_mail: marketinggroup.al@hotmail.com
Adresa: Rruga Tafaj, Ndertesa 34, mbrapa Aza Elektronics tek Selvia.

Ju mirepresim !
";"Marketing Group ka shpall vakant pozicioni e punes Agjent Retention";"5674";"http://karriera.al/al/job-inside/5674/marketing-group-ka-shpall-vakant-pozicioni-e-punes-agjent-retention";" 
Kerkohet te permbushni keto kritere :

Te njihni mire kompjuterin.
Te zoteroni gjuhen italiane ne nivel te larte komunikimi.
Te jeni ambicioz per arritjen e objektivave ne grup e individuale.
Te kene disponibilitet te plote , korrektesi me oraret apo detyrat dhe pergjegjesite qe u ngarkohet gjate punes.
Te jeni te afte te nderveproni ne grup, kembengules e pozitiv.
 
";"";"5"
"2021-08-05 17:28:41.597739";"";"Ofrojme Pune ne Call Center .

Gjuha : Italiane , Gjermane , Spanjolle , Greke.

Operator , Team Leader , Retention etc 


";"Operator Call-Center";"e:bisheva11@outlook.com|w:|t:0683997960";"Full Time";"179 Ditë";"Operator";"Tiranë";"Operator ne Call-Center.
Italisht , Gjermanisht , Spanjisht, Greqisht .
Pagesa mbi  600 Euro.
Kushte shume te mira pune dhe orari Full-Time.
Me dhe pa eksperience, nivel i mire i gjuhes eshte i domosdoshem .
 
";"Operatore Call-Center  Italisht , Gjermanisht , Spanjisht , Greqisht ";"5214";"http://karriera.al/al/job-inside/5214/operatore-call-center-italisht-gjermanisht-spanjisht-greqisht";"Ata me eksperience kane perparesi !
";"600 Euro ";"1333"
"2021-08-05 17:28:44.585965";"Garantojmë seriozitet maksimal nga kompania jonë, kontratë sipas rregullave të Republikës së Shqipërisë, Pagë superiore, Sigurime shtesë dhe Shërbime shëndetësore.
Aplikimet pranohen në adresën e emailit të shënuar më poshtë: job@work-italy.com ose mund të kontaktoni në nr. +355 69 6035666.
 
";"";"Work Italy";"e:recruiting@gmail.com|w:|t:";"Full Time";"56 Ditë";"Administrative/Zyre";"Durrës";"WorkItaly në emër të një Klienti të saj të rëndësishëm Italian Lider në sektorin e transportit kombëtar dhe ndërkombëtar, kërkon të punësojë menjëherë 2 Punonjës (Meshkuj)  në profilin e mëposhtëm:
 
";"Nënpunës Zyre Operativ në Sektorin e Transportit (M)";"5673";"http://karriera.al/al/job-inside/5673/nenpunes-zyre-operativ-ne-sektorin-e-transportit-m";"Nënpunës Zyre Operativ në Sektorin e Transportit (M):
 
-Të dijnë gjuhën italiane
-Të kenë eksperienca pune të ngjashme
- Persona serioz dhe që duan të mësojnë
";"e papercaktuar";"28"
"2021-08-05 17:28:46.453188";"Nell’ottica di una valorizzazione della diversity e lotta per le pari opportunità, questo annuncio è rivolto a tutti i candidati senza alcun tipo di discriminazione.
La Società Assist Sh.p.k. in qualità di Titolare del trattamento dei dati personali. I dati che la Società intende trattare sono: A) Dati anagrafici, e B) informazioni su carriera scolastica, situazione professionale, conoscenze specifiche in determinati settori. La base Giuridica per i punti A) e B) è l’esecuzione di misure precontrattuali ex art. 6, comma 1, lett. b) GDPR e art. 6, comma 1, lett. b) della Legge n. 9887 del 10.03.2008 “Per la protezione dei dati personali”. I dati raccolti saranno trattati per l'esecuzione dei processi di ricerca, selezione e valutazione del personale svolti per conto proprio per gestire la Sua candidatura in riferimento ad un annuncio specifico nonché per gestire la Sua candidatura spontanea. Nel caso in cui abbia fornito i Suoi dati mediante risposta ad un annuncio i dati forniti potranno essere trattati anche per selezioni future a seguito di Suo esplicito consenso inviato contestualmente al curriculum o conferito successivamente. I Suoi dati saranno conservati per il tempo strettamente necessario al perseguimento delle finalità sopra descritte ed in ogni caso per un tempo non superiore a 12 mesi salvo Sua revoca, in ogni momento, del consenso al trattamento dei Suoi dati. In ogni caso i Suoi dati potranno essere trattati per obblighi di legge ed esercizio di diritti anche in sede giudiziaria da parte della Società. Lei, in qualità, di interessato al trattamento dei dati personali potrà esercitare in qualunque momento, i diritti a lei espressamente riconosciuti dalla Legge n. 9887 del 10.03.2008 “Per la protezione dei dati personali” e dal Regolamento europeo, in particolare: Il diritto di accesso ai dati personali (art. 12 della Legge n. 9887 del 10.03.2008 “Per la protezione dei dati personali” e art. 15 del GDPR) il diritto di rettifica (art. 13 della Legge n. 9887 del 10.03.2008 “Per la protezione dei dati personali” e art.16 del GDPR), il diritto alla cancellazione (art. 13 della Legge n. 9887 del 10.03.2008 “Per la protezione dei dati personali” e art. 17 del GDPR), il diritto alla limitazione del trattamento dei dati personali (art. 13 della Legge n. 9887 del 10.03.2008 “Per la protezione dei dati personali” e art. 18 del GDPR), il diritto di opposizione (art. 15 della Legge n. 9887 del 10.03.2008 “Per la protezione dei dati personali” e art. 21 del GDPR), il diritto di proporre reclamo ad un’autorità di controllo (art. 16 della Legge n. 9887 del 10.03.2008 “Per la protezione dei dati personali” e art. 77 del GDPR), il diritto a revocare il consenso (art. 18 della Legge n. 9887 del 10.03.2008 “Per la protezione dei dati personali” e art. 7 del GDPR). Qualora ritenesse di esercitare i diritti sopra elencati di seguito viene indicato l’indirizzo di posta ordinaria del Titolare: Assist Sh.p.k. Tirana, Njësia nr. 5, Rruga “Emin Duraku”, Pallati Binjakët nr. 5 o all’indirizzo mail Dpo.Assist@assistdigital.com. La società Assist Sh.p.k. ritenendo di primaria importanza la tutela dei dati personali degli interessati, ha nominato un responsabile della protezione dei dati (DPO) che potrà essere contattato scrivendo all’indirizzo mail Dpo.Assist@assistdigital.com per ogni tematica riguardante la protezione dei dati personali.”
";"Assist Digital è una Customer Experience Management Company. Siamo specializzati in servizi end-to-end che combinano le potenzialità dell’intelligenza umana e di quella artificiale per migliorare le performance dei nostri clienti.";"AssistDigital Tirana";"e:selezionetirana@assistdigital.com|w:www.assistdigital.com|t:00355697099942/3";"Part Time";"56 Ditë";"Shërbim ndaj Klientit";"Tiranë";"Assist Digital è una Customer Experience Management Company. Siamo specializzati in servizi end-to-end che combinano le potenzialità dell’intelligenza umana e di quella artificiale per migliorare le performance dei nostri clienti.
Per la nostra sede di Tirana stiamo cercando Consulenti per un servizio Chat
Cosa farai?

gestire le richieste dei clienti
fornire la prima risoluzione del contatto tramite Chat
raggiungere i parametri di efficacia ed efficienza del servizio

";"Consulenti per un servizio Chat";"5672";"http://karriera.al/al/job-inside/5672/consulenti-per-un-servizio-chat";"Chi sei?

disponibilità a lavorare su turni
ottima conoscenza della lingua italiana scritta
precedente esperienza come consulente chat in ambito contact center
padronanza nell’utilizzo dei sistemi informatici

Cosa ti proponiamo?

un compenso orario garantito 340 leke netti 
inquadramento con contratto a tempo indeterminato 
formazione di ingresso retribuita e aggiornamenti continui
un ambiente lavorativo giovane e dinamico dove realizzare un’esperienza professionale e personale importante
servizio navetta

Candidati tramite il seguente link https://go0.it/0a6We
Assist Digital nel 2017 ha ottenuto la certificazione come Great Place to Work in Italia.
#ThinkDigitalThinkAssist
UNISCITI AL NOSTRO TEAM!
";"340 leke netti/ora";"12"
"2021-08-05 17:28:49.389735";"";"Kompania Marketing Group operon suksesshem ne fushen e telekomunikacionit duke trajtur argumenta mbi tregun e burses.
Jemi duke zgjeruar stafin tone dhe po kerkojme punonjes mbi pozicionin e punes Operator Apertura & Retention per gjuhen Italiane.
";"Marketing Grup";"e:marketinggroup.al@hotmail.com|w:marketinggroup.al@hotmail.com|t:0686078001";"Full Time";"56 Ditë";"Telemarketing";"Tiranë";"Kompania Marketing Group , nje kompani e sukseshme ne fushen e telemarketingut dhe ne ceshtjet e burses , po rekruton operatore telefonik ne pozicionin Apertura.

Ju ftojme te beheni pjese e intervistave tona te punes te cialt zhvillohen nga dita e Hene-Premte nga ora 9;00-18;00 prane zyrave tona .

Kompania jone ofron per ju :

Trajnime te pagura me nje staf te kualifukuar
Pagesa konkurrente ne treg
Bonuse te larta (bonuse ditore, javore, mujore)
Leads Web shume te mire
Mjedis komod, rinor dhe dinamik
Aktivitete argetuese brenda dhe jashte ambjentit te punes
Orare pune 9:00-18:00
Fundjava e lire

Ne dime te vleresojme punen tuaj duke iu ofruar mundesi rritje personale e profesionale secilit prej jush.

Dergojini aplikimet tuaja duke na kontaktuar ne numurin e telefonit 0686078001 ose derguar cv-ne tuaj ne adresat e e-mail: marketinggroup.al@hotmail.com

Adresa : Rruga Tafaj, Ndertesa 34, mbrapa Aza Elektronics tek Selvia .

Ju mirepresim!
";"Ofrohet mundesi punesimi Agjent Apertura";"5671";"http://karriera.al/al/job-inside/5671/ofrohet-mundesi-punesimi-agjent-apertura";" 
Te gjithe te interesuarit duhet te permbushin keto kritere:

Te njohin mire kompjuterin.
Te zoterojne gjuhen italiane ne nivel te larte njohje.
Te kene disponibilitet te plote, korrektesi ne pune si edhe te jene te gatshem te bashkepunojne per objektivat ne grup dhe ato personale.
Te jene ambicioz, kembengules, positiv dhe te jene te afte te nderveprojne ne grup .
";"";"17"
